Animal name,Sessions,Tetrode,Cell
Kvek (15134),medbox ,10,1,
Kvek (15134),medbox ,12,3,
Kvek (15134),medbox ,1,2,
Kvek (15134),medbox ,2,1,
Kvek (15134),medbox ,5,1,
Kvek (15134),medbox ,9,3,
Kvek (15134),medbox ,9,4,
Kvek (15134),medbox ,9,5,
Kvek (15134),medbox ,12,1,
Kvek (15134),medbox ,1,5,
Kvek (15134),medbox ,2,1,
Kvek (15134),medbox ,10,4,
Kvek (15134),medbox ,12,4,
Kvek (15134),medbox ,1,3,
Kvek (15134),medbox ,1,4,
Kvek (15134),medbox ,2,3,
Kvek (15134),medbox ,12,1,
Kvek (15134),medbox ,12,2,
Kvek (15134),medbox ,12,4,
Kvek (15134),medbox ,1,1,
Kvek (15134),medbox ,1,4,
Kvek (15134),medbox ,9,3,
Kvek (15134),medbox ,12,2,
Kvek (15134),medbox ,12,3,
Kvek (15134),medbox ,12,4,
Kvek (15134),medbox ,12,5,
Bolla (15687),2011-01-22_15-14-38 ,1,3,
Bolla (15687),2011-01-23_14-46-11 ,1,1,
Bolla (15687),2011-01-23_14-46-11 ,1,2,
Bolla (15687),2011-01-23_14-46-11 ,1,3,
Bolla (15687),2011-01-24_16-26-34 ,1,2,
Bolla (15687),2011-01-24_16-26-34 ,2,6,
Bolla (15687),2011-01-28_15-50-42 ,1,2,
Bolla (15687),2011-01-28_15-50-42 ,1,4,
Bolla (15687),2011-01-28_15-50-42 ,1,5,
Bolla (15687),2011-01-29_18-54-06 ,1,1,
Bolla (15687),2011-01-29_18-54-06 ,2,3,
Bolla (15687),2011-01-31_16-02-16 ,1,1,
Bolla (15687),2011-02-05_18-58-52 ,2,5,
Bolla (15687),2011-02-05_18-58-52 ,2,6,
Bolla (15687),2011-02-06_16-29-24 ,1,4,
Bolla (15687),2011-02-06_16-29-24 ,1,5,
Bolla (15687),2011-02-19_16-57-58 ,1,1,
Bolla (15687),2011-02-19_16-57-58 ,2,3,
Bolla (15687),2011-02-23_16-27-25 ,2,4,
Bolla (15687),2011-02-23_16-27-25 ,1,5,
Snipp (13855),smallbox 1 ,2,1,
Snipp (13855),smallbox 1 ,5,1,
Snipp (13855),smallbox 1 ,1,11,
Snipp (13855),smallbox 1 ,2,1,
Snipp (13855),smallbox 1 ,1,2,
Snipp (13855),smallbox 1 ,5,1,
Snipp (13855),smallbox 2 ,5,1,
Snipp (13855),smallbox 2 ,12,3,
Snipp (13855),smallbox 1 ,6,10,
Snipp (13855),smallbox 1 ,1,8,
Snipp (13855),smallbox 1 ,4,10,
Snipp (13855),smallbox 1 ,5,4,
Snipp (13855),smallbox 1 ,5,1,
Snipp (13855),smallbox 1 ,2,8,
Snipp (13855),smallbox 1 ,3,8,
Snipp (13855),smallbox 1 ,4,6,
Snipp (13855),smallbox 1 ,5,2,
Snipp (13855),smallbox 1 ,6,2,
Snipp (13855),smallbox 1 ,1,10,
Snipp (13855),smallbox 3 ,1,3,
Snipp (13855),smallbox 2 ,1,1,
Snipp (13855),smallbox 2 ,1,4,
Snipp (13855),smallbox 2 ,5,3,
Snipp (13855),smallbox 2 ,5,5,
Snipp (13855),smallbox 2 ,5,6,
Snipp (13855),smallbox 1 ,1,1,
Snipp (13855),smallbox 1 ,4,4,
Snipp (13855),smallbox 1 ,5,2,
Snipp (13855),smallbox 1 ,1,11,
Snipp (13855),smallbox 1 ,2,2,
Snipp (13855),smallbox 1 ,5,5,
Snipp (13855),smallbox 1 ,6,4,
Snipp (13855),smallbox 1 ,1,1,
Snipp (13855),smallbox 1 ,2,2,
Snipp (13855),smallbox 1 ,3,1,
Snipp (13855),smallbox 1 ,5,6,
Snipp (13855),smallbox 1 ,6,1,
Snipp (13855),smallbox 1 ,2,3,
Snipp (13855),smallbox 1 ,2,4,
Snipp (13855),smallbox 1 ,5,7,
Snipp (13855),smallbox 1 ,5,1,
Snipp (13855),smallbox 1 ,5,1,
Snipp (13855),smallbox 1 ,2,1,
Snipp (13855),smallbox 1 ,2,8,
Snipp (13855),smallbox 1 ,6,1,
Snipp (13855),smallbox 1 ,2,2,
Snipp (13855),smallbox 1 ,5,2,
Snipp (13855),smallbox 1 ,1,3,
Snipp (13855),smallbox 1 ,1,6,
Snipp (13855),smallbox 1 ,5,1,
Snipp (13855),smallbox 1 ,5,2,
Snipp (13855),smallbox 1 ,1,1,
Snipp (13855),smallbox 1 ,1,5,
Snipp (13855),smallbox 1 ,2,7,
Snipp (13855),smallbox 1 ,5,2,
Snipp (13855),smallbox 1 ,5,3,
Snipp (13855),smallbox 1 ,5,4,
Snipp (13855),smallbox 1 ,5,5,
Snipp (13855),smallbox 4 ,1,1,
Snipp (13855),smallbox 4 ,1,7,
Snipp (13855),smallbox 1 ,1,7,
Snipp (13855),smallbox 1 ,4,1,
Snipp (13855),smallbox 1 ,5,1,
Snipp (13855),smallbox 1 ,5,2,
Snipp (13855),smallbox 1 ,1,1,
Snipp (13855),smallbox 1 ,1,10,
Snipp (13855),smallbox 1 ,1,6,
Snipp (13855),smallbox 1 ,2,1,
Snipp (13855),smallbox 1 ,2,3,
Snipp (13855),smallbox 1 ,4,1,
Snipp (13855),smallbox 1 ,5,1,
Snipp (13855),smallbox 1 ,5,3,
Snipp (13855),smallbox 1 ,6,1,
Snipp (13855),smallbox 1 ,1,1,
Snipp (13855),smallbox 1 ,1,2,
Snipp (13855),smallbox 1 ,1,3,
Snipp (13855),smallbox 1 ,1,5,
Snipp (13855),smallbox 2 changed 11 ,2,2,
Snipp (13855),smallbox 2 changed 11 ,2,3,
Snipp (13855),smallbox 2 changed 11 ,5,1,
Snipp (13855),smallbox 2 changed 11 ,6,1,
Snipp (13855),smallbox 1 ,5,2,
Snipp (13855),smallbox 1 ,1,4,
Snipp (13855),smallbox 1 ,5,2,
Snipp (13855),smallbox 1 ,1,6,
Snipp (13855),smallbox 1 ,2,5,
Snipp (13855),smallbox 1 ,2,2,
Snipp (13855),smallbox 1 ,1,3,
Snipp (13855),smallbox 1 ,1,4,
Snipp (13855),smallbox 1 ,1,5,
Snipp (13855),smallbox 1 ,5,2,
Snipp (13855),smallbox 1 ,5,6,
Snipp (13855),smallbox 1 ,1,1,
Snipp (13855),smallbox 1 ,2,4,
Snipp (13855),smallbox 1 ,5,1,
Snipp (13855),smallbox 1 ,1,1,
Snipp (13855),smallbox 1 ,1,2,
Snipp (13855),smallbox 1 ,1,5,
Snipp (13855),smallbox 1 ,2,6,
Snipp (13855),smallbox 1 ,5,1,
Snipp (13855),smallbox 1 ,2,1,
Snipp (13855),smallbox 1 ,1,1,
Snipp (13855),smallbox 1 ,1,2,
Snipp (13855),smallbox 1 ,1,3,
Snipp (13855),smallbox 1 ,2,4,
Snipp (13855),smallbox 1 ,5,1,
Flekken (14147),medbox 1 ,4,5,
Flekken (14147),medbox 1 ,4,7,
Flekken (14147),medbox 1 ,6,1,
